     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         657.788;         220.334;         319.500;         258.182;          34.003 (13.170 %);   3782.457
        r8;           2.000;           0.002;           0.000;        128;        500;         820.345;         134.918;         156.584;         136.379;           4.550 ( 3.337 %);   7160.663
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         698.688;         167.582;         249.834;         181.344;          21.150 (11.663 %);   5385.149
        r8;           2.000;           0.002;           0.000;        128;        500;         626.302;         134.918;         254.334;         163.252;          23.695 (14.514 %);   5981.917
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1170.312;         167.666;         303.750;         233.177;          48.426 (20.768 %);   4188.080
        r8;           2.000;           0.002;           0.000;        128;        500;        1007.141;         134.916;         136.666;         135.301;           0.474 ( 0.351 %);   7217.725
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1480.875;         220.332;         311.168;         232.343;          25.723 (11.071 %);   4203.100
        r8;           2.000;           0.002;           0.000;        128;        500;         668.075;         134.916;         140.834;         135.242;           1.006 ( 0.744 %);   7220.833
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         969.833;         220.332;         324.416;         250.124;          34.378 (13.744 %);   3904.318
        r8;           2.000;           0.002;           0.000;        128;        500;         700.935;         134.916;         140.084;         135.283;           0.871 ( 0.644 %);   7218.685
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         863.694;         220.332;         300.666;         254.593;          30.514 (11.986 %);   3835.776
        r8;           2.000;           0.002;           0.000;        128;        500;        1434.651;         134.916;         140.416;         135.553;           1.174 ( 0.866 %);   7204.264
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        8233.141;         220.332;         262.832;         223.614;          10.200 ( 4.562 %);   4367.186
        r8;           2.000;           0.002;           0.000;        128;        500;         781.787;         135.000;         135.334;         135.106;           0.087 ( 0.064 %);   7228.124
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         510.288;         167.750;         756.000;         255.053;          98.584 (38.652 %);   3828.860
        r8;           2.000;           0.002;           0.000;        128;        500;        1208.807;         134.916;         217.916;         139.353;          15.841 (11.367 %);   7007.816
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1629.914;         203.668;         404.084;         225.588;          32.178 (14.264 %);   4328.960
        r8;           2.000;           0.002;           0.000;        128;        500;         440.609;         134.916;         135.500;         135.131;           0.140 ( 0.104 %);   7226.759
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         684.712;         167.584;         283.834;         232.806;          50.430 (21.662 %);   4194.751
        r8;           2.000;           0.002;           0.000;        128;        500;        2171.593;         134.916;         168.834;         138.768;           9.151 ( 6.594 %);   7037.388
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1015.347;         167.668;         328.750;         244.452;          40.111 (16.408 %);   3994.905
