     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3599.341;          54.582;          55.250;          54.697;           0.125 ( 0.228 %);  17854.071
        c8;           2.000;           0.002;           0.000;        128;        500;       12192.485;          42.750;          61.084;          51.735;           6.731 (13.011 %);  18876.255
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        6644.751;          54.500;          55.000;          54.702;           0.110 ( 0.201 %);  17852.469
        c8;           2.000;           0.002;           0.000;        128;        500;        8022.325;          42.750;          55.082;          48.901;           5.970 (12.208 %);  19970.009
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        8133.055;          42.750;          55.250;          52.704;           4.372 ( 8.295 %);  18529.063
        c8;           2.000;           0.002;           0.000;        128;        500;        8950.707;          42.750;          43.166;          42.914;           0.099 ( 0.230 %);  22756.172
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3877.521;          35.084;         130.332;          54.609;          15.045 (27.550 %);  17882.922
        c8;           2.000;           0.002;           0.000;        128;        500;        4591.743;          54.500;          60.584;          54.869;           1.031 ( 1.878 %);  17798.182
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        5702.630;          42.834;          55.334;          51.503;           5.366 (10.418 %);  18961.330
        c8;           2.000;           0.002;           0.000;        128;        500;        5880.372;          42.832;          43.500;          42.995;           0.149 ( 0.346 %);  22713.573
