     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         602.450;         135.416;         193.584;         158.528;          19.354 (12.209 %);   6160.199
        r8;           2.000;           0.002;           0.000;        128;        500;         563.413;         135.000;         140.834;         135.328;           0.998 ( 0.737 %);   7216.254
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         711.968;         135.416;         178.334;         171.184;           7.783 ( 4.546 %);   5704.737
        r8;           2.000;           0.002;           0.000;        128;        500;        1201.374;         134.916;         135.416;         135.154;           0.161 ( 0.119 %);   7225.567
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         680.345;         135.666;         262.250;         180.008;          20.436 (11.353 %);   5425.115
        r8;           2.000;           0.002;           0.000;        128;        500;         618.047;         134.916;         164.666;         137.108;           6.837 ( 4.986 %);   7122.553
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         680.876;         135.332;         168.166;         136.692;           5.733 ( 4.194 %);   7144.255
        r8;           2.000;           0.002;           0.000;        128;        500;         687.612;         135.000;         140.666;         135.303;           0.969 ( 0.716 %);   7217.595
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1205.591;         135.334;         202.084;         161.048;          19.450 (12.077 %);   6063.805
        r8;           2.000;           0.002;           0.000;        128;        500;        1232.400;         134.916;         135.500;         135.159;           0.162 ( 0.120 %);   7225.272
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1304.904;         135.500;         259.500;         167.616;          24.926 (14.871 %);   5826.178
        r8;           2.000;           0.002;           0.000;        128;        500;        2121.689;         134.918;         135.500;         135.119;           0.138 ( 0.102 %);   7227.421
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         721.918;         135.416;         173.666;         152.275;          18.443 (12.111 %);   6413.131
        r8;           2.000;           0.002;           0.000;        128;        500;        1408.268;         134.918;         140.834;         135.263;           1.006 ( 0.744 %);   7219.746
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         674.789;         135.334;         173.750;         146.482;          16.933 (11.560 %);   6666.758
        r8;           2.000;           0.002;           0.000;        128;        500;         695.515;         134.834;         164.668;         137.015;           6.560 ( 4.788 %);   7127.399
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3823.795;         135.500;         238.750;         165.846;          20.937 (12.625 %);   5888.361
        r8;           2.000;           0.002;           0.000;        128;        500;         650.256;         134.916;         140.832;         135.305;           1.002 ( 0.740 %);   7217.466
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         482.779;         150.668;         243.834;         163.796;          18.233 (11.131 %);   5962.079
        r8;           2.000;           0.002;           0.000;        128;        500;        1423.496;         134.916;         172.666;         142.664;          14.915 (10.455 %);   6845.195
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        5913.633;         135.416;         258.166;         167.169;          22.478 (13.446 %);   5841.763
        r8;           2.000;           0.002;           0.000;        128;        500;         768.117;         134.916;         181.918;         137.712;           9.359 ( 6.796 %);   7091.345
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1064.008;         135.416;         173.750;         148.717;          17.873 (12.018 %);   6566.579
        r8;           2.000;           0.002;           0.000;        128;        500;         452.014;         134.916;         184.834;         141.376;          13.391 ( 9.472 %);   6907.549
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         721.559;         135.500;         230.918;         169.343;          19.110 (11.285 %);   5766.767
        r8;           2.000;           0.002;           0.000;        128;        500;        1181.749;         134.916;         136.582;         135.184;           0.299 ( 0.221 %);   7223.941
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        2192.818;         135.500;         179.000;         159.960;          17.985 (11.243 %);   6105.056
        r8;           2.000;           0.002;           0.000;        128;        500;        1028.392;         134.916;         171.750;         136.364;           6.429 ( 4.715 %);   7161.465
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         830.992;         135.418;         136.250;         135.548;           0.137 ( 0.101 %);   7204.548
        r8;           2.000;           0.002;           0.000;        128;        500;        1594.797;         135.000;         182.250;         136.700;           8.226 ( 6.018 %);   7143.853
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         931.590;         135.416;         240.918;         168.778;          22.357 (13.247 %);   5786.085
        r8;           2.000;           0.002;           0.000;        128;        500;         491.860;         135.000;         174.334;         138.866;          10.005 ( 7.205 %);   7032.412
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         850.606;         135.416;         225.000;         166.596;          18.856 (11.318 %);   5861.873
        r8;           2.000;           0.002;           0.000;        128;        500;         868.970;         135.000;         135.500;         135.131;           0.135 ( 0.100 %);   7226.772
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        4499.175;         135.584;         245.918;         173.227;          26.493 (15.294 %);   5637.460
        r8;           2.000;           0.002;           0.000;        128;        500;         703.048;         134.834;         137.750;         135.401;           0.571 ( 0.422 %);   7212.349
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         795.932;         135.416;         239.918;         167.874;          21.439 (12.771 %);   5817.243
        r8;           2.000;           0.002;           0.000;        128;        500;        2498.715;         134.834;         140.750;         135.270;           0.990 ( 0.732 %);   7219.354
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1770.940;         150.666;         276.166;         160.505;          23.895 (14.887 %);   6084.313
        r8;           2.000;           0.002;           0.000;        128;        500;        3603.001;         135.000;         172.666;         156.394;          18.559 (11.867 %);   6244.243
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         590.255;         135.418;         259.584;         169.603;          22.245 (13.116 %);   5757.918
        r8;           2.000;           0.002;           0.000;        128;        500;        1188.263;         134.916;         166.750;         137.412;           7.267 ( 5.288 %);   7106.834
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
